Datum;Uhrzeit;ug/m
18.01.19;00:00;23,078
18.01.19;01:00;29,472
18.01.19;02:00;24,582
18.01.19;03:00;22,737
18.01.19;04:00;27,182
18.01.19;05:00;21,792
18.01.19;06:00;42,545
18.01.19;07:00;53,755
18.01.19;08:00;74,356
18.01.19;09:00;71,852
18.01.19;10:00;98,244
18.01.19;11:00;71,584
18.01.19;12:00;66,208
18.01.19;13:00;61,945
18.01.19;14:00;51,88
18.01.19;15:00;69,398
18.01.19;16:00;67,299
18.01.19;17:00;73,067
18.01.19;18:00;77,346
18.01.19;19:00;73,627
18.01.19;20:00;70,475
18.01.19;21:00;54,484
18.01.19;22:00;64,016
18.01.19;23:00;61,853
19.01.19;00:00;60,106
19.01.19;01:00;52,706
19.01.19;02:00;50,02
19.01.19;03:00;55,225
19.01.19;04:00;52,262
19.01.19;05:00;49,459
19.01.19;06:00;51,71
19.01.19;07:00;57,322
19.01.19;08:00;55,698
19.01.19;09:00;58,493
19.01.19;10:00;59,877
19.01.19;11:00;63,47
19.01.19;12:00;66,608
19.01.19;13:00;74,089
19.01.19;14:00;66,448
19.01.19;15:00;66,742
19.01.19;16:00;75,816
19.01.19;17:00;81,208
19.01.19;18:00;87,615
19.01.19;19:00;86,237
19.01.19;20:00;80,483
19.01.19;21:00;70,398
19.01.19;22:00;65,96
19.01.19;23:00;
20.01.19;00:00;63,43
20.01.19;01:00;55,836
20.01.19;02:00;50,335
20.01.19;03:00;48,872
20.01.19;04:00;46,461
20.01.19;05:00;42,476
20.01.19;06:00;45,933
20.01.19;07:00;36,489
20.01.19;08:00;36,675
20.01.19;09:00;34,856
20.01.19;10:00;34,414
20.01.19;11:00;34,35
20.01.19;12:00;35,339
20.01.19;13:00;33,343
20.01.19;14:00;36,166
20.01.19;15:00;59,984
20.01.19;16:00;58,577
20.01.19;17:00;59,625
20.01.19;18:00;65,697
20.01.19;19:00;69,772
20.01.19;20:00;72,279
20.01.19;21:00;54,613
20.01.19;22:00;56,367
20.01.19;23:00;55,975
21.01.19;00:00;
21.01.19;01:00;42,431
21.01.19;02:00;41,147
21.01.19;03:00;38,88
21.01.19;04:00;49,515
21.01.19;05:00;38,271
21.01.19;06:00;38,226
21.01.19;07:00;35,497
21.01.19;08:00;43,718
21.01.19;09:00;55,108
21.01.19;10:00;62,312
21.01.19;11:00;62,123
21.01.19;12:00;
21.01.19;13:00;
21.01.19;14:00;
21.01.19;15:00;
21.01.19;16:00;59,607
21.01.19;17:00;68,877
21.01.19;18:00;84,725
21.01.19;19:00;69,955
21.01.19;20:00;58,951
21.01.19;21:00;54,221
21.01.19;22:00;49,975
21.01.19;23:00;50,834
22.01.19;00:00;53,831
22.01.19;01:00;48,557
22.01.19;02:00;51,512
22.01.19;03:00;47,953
22.01.19;04:00;50,093
22.01.19;05:00;54,616
22.01.19;06:00;54,787
22.01.19;07:00;66,449
22.01.19;08:00;79,283
22.01.19;09:00;79,373
22.01.19;10:00;64,713
22.01.19;11:00;56,919
22.01.19;12:00;68,5
22.01.19;13:00;46,526
22.01.19;14:00;48,552
22.01.19;15:00;52,525
22.01.19;16:00;56,687
22.01.19;17:00;67,413
22.01.19;18:00;64,457
22.01.19;19:00;58,538
22.01.19;20:00;47,455
22.01.19;21:00;46,586
22.01.19;22:00;48,464
22.01.19;23:00;
23.01.19;00:00;40,613
23.01.19;01:00;35,948
23.01.19;02:00;30,669
23.01.19;03:00;27,857
23.01.19;04:00;25,32
23.01.19;05:00;23,416
23.01.19;06:00;31,671
23.01.19;07:00;46,355
23.01.19;08:00;68,08
23.01.19;09:00;53,421
23.01.19;10:00;54,717
23.01.19;11:00;48,968
23.01.19;12:00;51,332
23.01.19;13:00;54,506
23.01.19;14:00;48,157
23.01.19;15:00;45,696
23.01.19;16:00;46,258
23.01.19;17:00;53,908
23.01.19;18:00;59,645
23.01.19;19:00;64,443
23.01.19;20:00;55,719
23.01.19;21:00;52,751
23.01.19;22:00;49,756
23.01.19;23:00;36,097
24.01.19;00:00;
24.01.19;01:00;23,5
24.01.19;02:00;18,411
24.01.19;03:00;20,589
24.01.19;04:00;20,581
24.01.19;05:00;27,469
24.01.19;06:00;34,766
24.01.19;07:00;48,974
24.01.19;08:00;57,527
24.01.19;09:00;56,03
24.01.19;10:00;62,062
24.01.19;11:00;52,465
24.01.19;12:00;56,949
24.01.19;13:00;53,003
24.01.19;14:00;63,104
24.01.19;15:00;50,97
24.01.19;16:00;49,199
24.01.19;17:00;62,038
24.01.19;18:00;57,1
24.01.19;19:00;62,2
24.01.19;20:00;47,731
24.01.19;21:00;41,149
24.01.19;22:00;47,454
24.01.19;23:00;35,108
25.01.19;00:00;39,418
25.01.19;01:00;
25.01.19;02:00;20,705
25.01.19;03:00;20,302
25.01.19;04:00;29,516
25.01.19;05:00;27,467
25.01.19;06:00;29,912
25.01.19;07:00;35,621
25.01.19;08:00;51,016
25.01.19;09:00;63,579
25.01.19;10:00;47,127
25.01.19;11:00;69,325
25.01.19;12:00;47,23
25.01.19;13:00;74,806
25.01.19;14:00;60,144
25.01.19;15:00;64,613
25.01.19;16:00;61,988
25.01.19;17:00;68,143
25.01.19;18:00;56,054
25.01.19;19:00;56,513
25.01.19;20:00;55,553
25.01.19;21:00;57,74
25.01.19;22:00;51,027
25.01.19;23:00;44,923
26.01.19;00:00;38,952
26.01.19;01:00;39,508
26.01.19;02:00;
26.01.19;03:00;36,375
26.01.19;04:00;39,012
26.01.19;05:00;37,661
26.01.19;06:00;44,095
26.01.19;07:00;52,21
26.01.19;08:00;41,442
26.01.19;09:00;32,536
26.01.19;10:00;32,724
26.01.19;11:00;45,311
26.01.19;12:00;40,811
26.01.19;13:00;52,567
26.01.19;14:00;56,425
26.01.19;15:00;49,132
26.01.19;16:00;48,32
26.01.19;17:00;43,539
26.01.19;18:00;54,308
26.01.19;19:00;46,208
26.01.19;20:00;55,36
26.01.19;21:00;42,249
26.01.19;22:00;43,176
26.01.19;23:00;34,238
27.01.19;00:00;27,373
27.01.19;01:00;25,281
27.01.19;02:00;25,5
27.01.19;03:00;
27.01.19;04:00;25,915
27.01.19;05:00;24,364
27.01.19;06:00;19,066
27.01.19;07:00;16,229
27.01.19;08:00;18,654
27.01.19;09:00;16,979
27.01.19;10:00;25,007
27.01.19;11:00;22,828
27.01.19;12:00;24,67
27.01.19;13:00;29,153
27.01.19;14:00;35,574
27.01.19;15:00;38,686
27.01.19;16:00;44,187
27.01.19;17:00;48,641
27.01.19;18:00;41,183
27.01.19;19:00;54,391
27.01.19;20:00;45,007
27.01.19;21:00;44,225
27.01.19;22:00;38,301
27.01.19;23:00;28,753
28.01.19;00:00;20,068
28.01.19;01:00;18,472
28.01.19;02:00;14,539
28.01.19;03:00;14,809
28.01.19;04:00;
28.01.19;05:00;12,47
28.01.19;06:00;19,048
28.01.19;07:00;26,308
28.01.19;08:00;57,842
28.01.19;09:00;42,881
28.01.19;10:00;70,66
28.01.19;11:00;48,591
28.01.19;12:00;51,957
28.01.19;13:00;28,366
28.01.19;14:00;24,956
28.01.19;15:00;21,33
28.01.19;16:00;18,676
28.01.19;17:00;23,612
28.01.19;18:00;29,549
28.01.19;19:00;26,587
28.01.19;20:00;46,459
28.01.19;21:00;49,334
28.01.19;22:00;46,237
28.01.19;23:00;38,311
29.01.19;00:00;34,225
29.01.19;01:00;20,143
29.01.19;02:00;13,221
29.01.19;03:00;15,131
29.01.19;04:00;16,256
29.01.19;05:00;
29.01.19;06:00;34,375
29.01.19;07:00;53,331
29.01.19;08:00;73,332
29.01.19;09:00;72,335
29.01.19;10:00;81,095
29.01.19;11:00;67,151
29.01.19;12:00;81,84
29.01.19;13:00;60,323
29.01.19;14:00;57,248
29.01.19;15:00;49,237
29.01.19;16:00;66,608
29.01.19;17:00;67,508
29.01.19;18:00;65,977
29.01.19;19:00;86,018
29.01.19;20:00;69,379
29.01.19;21:00;59,303
29.01.19;22:00;55,918
29.01.19;23:00;47,621
30.01.19;00:00;48
30.01.19;01:00;40,846
30.01.19;02:00;26,384
30.01.19;03:00;22,061
30.01.19;04:00;23,323
30.01.19;05:00;29,505
30.01.19;06:00;37,573
30.01.19;07:00;51,458
30.01.19;08:00;73,513
30.01.19;09:00;76,785
30.01.19;10:00;61,502
30.01.19;11:00;61,123
30.01.19;12:00;61,115
30.01.19;13:00;58,843
30.01.19;14:00;74,588
30.01.19;15:00;64,919
30.01.19;16:00;76,039
30.01.19;17:00;66,833
30.01.19;18:00;72,921
30.01.19;19:00;74,271
30.01.19;20:00;53,153
30.01.19;21:00;50,924
30.01.19;22:00;46,865
30.01.19;23:00;
31.01.19;00:00;43,433
31.01.19;01:00;33,991
31.01.19;02:00;29,212
31.01.19;03:00;31,978
31.01.19;04:00;34,882
31.01.19;05:00;37,151
31.01.19;06:00;54,354
31.01.19;07:00;45,446
31.01.19;08:00;74,685
31.01.19;09:00;59,753
31.01.19;10:00;66,303
31.01.19;11:00;67,966
31.01.19;12:00;59,309
31.01.19;13:00;47,71
31.01.19;14:00;53,482
31.01.19;15:00;57,172
31.01.19;16:00;60,117
31.01.19;17:00;86,076
31.01.19;18:00;95,357
31.01.19;19:00;84,506
31.01.19;20:00;77,993
31.01.19;21:00;67,077
31.01.19;22:00;66,942
31.01.19;23:00;59,287
01.02.19;00:00;
01.02.19;01:00;32,825
01.02.19;02:00;33,958
01.02.19;03:00;26,842
01.02.19;04:00;28,899
01.02.19;05:00;28,697
01.02.19;06:00;31,874
01.02.19;07:00;34,567
01.02.19;08:00;44,555
01.02.19;09:00;48,145
01.02.19;10:00;47,002
01.02.19;11:00;59,529
