Lufthygienisches Überwachungssystem Niedersachsen;
Osnabrück (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;
Datum;Uhrzeit;µg/m³;Status;µg/m³;Status;µg/m³;Status;mg/m³;Status;°C;Status;hPa;Status;%;Status;
05.01.2019;21:00;7,206; ;24,451;;48,545;;0,29881;E;7,39;;1019,4;;99,7;;
05.01.2019;22:00;6,880; ;23,124;;41,758;;0,29651;E;7,27;;1019,7;;100,0;;
05.01.2019;23:00;6,528; ;20,949;;38,906;;0,28572;E;7,14;;1019,8;;100,0;;
06.01.2019;00:00;6,341; ;;*;;*;0,27447;E;7,05;;1019,7;;100,0;;
06.01.2019;01:00;6,306; ;13,197;;24,622;;0,25462;E;6,98;;1019,9;;100,0;;
06.01.2019;02:00;6,257; ;9,991;;17,849;;0,23490;E;6,92;;1020,0;;100,0;;
06.01.2019;03:00;5,774; ;9,879;;18,842;;0,21745;E;6,91;;1020,1;;100,0;;
06.01.2019;04:00;5,587; ;10,173;;16,299;;0,19535;E;6,91;;1020,4;;100,0;;
06.01.2019;05:00;5,545; ;8,631;;12,199;;0,17417;E;6,86;;1020,4;;100,0;;
06.01.2019;06:00;5,589; ;13,270;;21,414;;0,15760;E;6,87;;1020,3;;100,0;;
06.01.2019;07:00;5,515; ;13,545;;19,112;;0,15007;E;6,81;;1020,5;;100,0;;
06.01.2019;08:00;5,401; ;11,127;;15,034;;0,14175;E;6,75;;1020,8;;100,0;;
06.01.2019;09:00;5,234; ;15,403;;22,039;;0,14250;E;6,68;;1021,3;;100,0;;
06.01.2019;10:00;5,051; ;18,556;;36,815;;0,14914;E;6,71;;1021,9;;100,0;;
06.01.2019;11:00;5,046; ;22,229;;38,743;;0,15920;E;6,80;;1022,2;;100,0;;
06.01.2019;12:00;5,053; ;18,728;;42,013;;0,17157;E;6,92;;1022,4;;100,0;;
06.01.2019;13:00;5,037; ;22,925;;45,303;;0,18496;E;6,99;;1022,5;;100,0;;
06.01.2019;14:00;5,098; ;26,109;;55,439;;0,20299;E;7,00;;1022,5;;99,9;;
06.01.2019;15:00;5,197; ;25,484;;55,668;;0,21851;E;6,92;;1022,6;;99,7;;
06.01.2019;16:00;5,354; ;32,446;;69,319;;0,24118;E;6,99;;1022,8;;98,4;;
06.01.2019;17:00;6,388; ;40,686;;91,437;;0,27248;E;6,89;;1023,1;;98,7;;
06.01.2019;18:00;6,974; ;40,710;;95,991;;0,30465;E;6,77;;1023,4;;98,9;;
06.01.2019;19:00;7,346; ;48,507;;101,128;;0,31845;E;6,55;;1023,6;;99,9;;
06.01.2019;20:00;7,709; ;34,466;;74,324;;0,32626;E;6,35;;1024,0;;99,4;;
06.01.2019;21:00;8,009; ;25,207;;50,128;;0,32790;E;6,09;;1024,1;;99,3;;
06.01.2019;22:00;8,445; ;17,448;;32,350;;0,32001;E;5,92;;1024,1;;99,8;;
06.01.2019;23:00;8,843; ;15,425;;28,725;;0,31033;E;5,82;;1024,1;;99,8;;
07.01.2019;00:00;9,301; ;12,577;;20,874;;0,29058;E;5,76;;1024,1;;100,0;;
07.01.2019;01:00;9,942; ;;*;;*;0,25919;E;5,74;;1024,1;;100,0;;
07.01.2019;02:00;10,407; ;10,588;;15,772;;0,22006;E;5,69;;1024,2;;100,0;;
07.01.2019;03:00;11,310; ;12,940;;18,913;;0,19544;E;5,61;;1024,3;;100,0;;
07.01.2019;04:00;11,891; ;10,924;;15,615;;0,17790;E;5,38;;1024,3;;99,6;;
07.01.2019;05:00;12,479; ;26,351;;39,086;;0,16789;E;5,11;;1024,0;;99,0;;
07.01.2019;06:00;13,139; ;49,340;;123,427;;0,18483;E;4,92;;1023,6;;98,8;;
07.01.2019;07:00;13,708; ;53,372;;157,036;;0,22385;E;4,76;;1023,2;;97,3;;
07.01.2019;08:00;14,368; ;64,342;;242,569;;0,31842;E;4,84;;1023,2;;96,6;;
